detailedItemId,detailedItemName,itemId
DITM-000031,Slicing Software,ITM-002304
DITM-000030,Sheet Lamination,ITM-009875
DITM-000028,Quality Assurance System and Hardware,ITM-002355
DITM-000027,Production Centre,ITM-009893
DITM-000026,Powder Bed Fusion,ITM-009872
DITM-000025,Polymer/Solvent Binders,ITM-009882
DITM-000023,Photopolymer Resins,ITM-009876
DITM-000022,"Paints, Varnishes, and Dyes",ITM-001745
DITM-000021,Metal Wire,ITM-002042
DITM-000020,Metal powders,ITM-009879
DITM-000019,Metal Foil/Sheets,ITM-009885
DITM-000018,Media Polishing Equipment,ITM-009887
DITM-000017,Media Blasting Equipment,ITM-009889
DITM-000016,Material Jetting,ITM-009870
DITM-000013,Hot Isostatic Pressing Machine,ITM-009890
DITM-000012,Galvanising,ITM-002336
DITM-000011,Electroless Plating,ITM-002336
DITM-000010,Electrochemical Media Polishing Equipment,ITM-009886
DITM-000009,Direct Energy Deposition,ITM-009874
DITM-000008,Design Simulation and Analysis (CAE) Software,ITM-002304
DITM-000007,Computer Aided Design (CAD) Software,ITM-002304
DITM-000006,Composite Reinforced Thermoplastics/Resins,ITM-009884
DITM-000005,Clean Room Manufacturing,ITM-009894
DITM-000004,Ceramic powder,ITM-009881
DITM-000003,Binder Jetting,ITM-009873
DITM-000002,Adhesives,ITM-005476
