organisationCapability,organisationId,itemId,detailedItemId,capabilityType,validationDate,sectorMappingId
OC-010758,001ON00000JFA3P,ITM-009904,DITM-000512,Manufacturer,2025-06-01,SM-000484
OC-017898,001ON00000JFA3P,ITM-009904,DITM-000512,Manufacturer,2025-06-01,SM-000484
OC-017909,001ON00000JFA9A,ITM-009904,DITM-000512,Wholesaler,2025-06-01,SM-000484
OC-010768,001ON00000JFA9T,ITM-009904,DITM-000512,Manufacturer,2025-06-01,SM-000484
OC-017913,001ON00000JFA9T,ITM-009904,DITM-000512,Manufacturer,2025-06-01,SM-000484
OC-010848,001ON00000JFAEH,ITM-009904,DITM-000512,Manufacturer,2025-06-01,SM-000484
OC-018024,001ON00000JFAEH,ITM-009904,DITM-000512,Manufacturer,2025-06-01,SM-000484
OC-017923,001ON00000JFAEK,ITM-009904,DITM-000512,Wholesaler,2025-06-01,SM-000484
OC-010775,001ON00000JFAEP,ITM-009904,DITM-000512,Manufacturer,2025-06-01,SM-000484
OC-017925,001ON00000JFAEP,ITM-009904,DITM-000512,Manufacturer,2025-06-01,SM-000484
OC-010798,001ON00000JFAEG,ITM-009904,DITM-000512,Manufacturer,2025-06-01,SM-000484
OC-017954,001ON00000JFAEG,ITM-009904,DITM-000512,Manufacturer,2025-06-01,SM-000484
OC-010780,001ON00000JFAEK,ITM-009904,DITM-000512,Manufacturer,2025-06-01,SM-000484
OC-017931,001ON00000JFAEK,ITM-009904,DITM-000512,Manufacturer,2025-06-01,SM-000484
OC-017951,001ON00000JFAGQ,ITM-009904,DITM-000512,Designer,2025-06-01,SM-000484
OC-010797,001ON00000JFAMU,ITM-009904,DITM-000512,Manufacturer,2025-06-01,SM-000484
OC-017953,001ON00000JFAMU,ITM-009904,DITM-000512,Manufacturer,2025-06-01,SM-000484
OC-010859,001ON00000JFAST,ITM-009904,DITM-000512,Manufacturer,2025-06-01,SM-000484
OC-018035,001ON00000JFAST,ITM-009904,DITM-000512,Manufacturer,2025-06-01,SM-000484
OC-010809,001ON00000JFATT,ITM-009904,DITM-000512,Manufacturer,2025-06-01,SM-000484
OC-010870,001ON00000JFATT,ITM-009904,DITM-000512,Manufacturer,2025-06-01,SM-000484
OC-018046,001ON00000JFATT,ITM-009904,DITM-000512,Manufacturer,2025-06-01,SM-000484
OC-017969,001ON00000JFATT,ITM-009904,DITM-000512,Manufacturer,2025-06-01,SM-000484
OC-010819,001ON00000JFAV5,ITM-009904,DITM-000512,Manufacturer,2025-06-01,SM-000484
OC-017981,001ON00000JFAV5,ITM-009904,DITM-000512,Manufacturer,2025-06-01,SM-000484
OC-010826,001ON00000JFAZJ,ITM-009904,DITM-000512,Manufacturer,2025-06-01,SM-000484
OC-017994,001ON00000JFAZJ,ITM-009904,DITM-000512,Manufacturer,2025-06-01,SM-000484
OC-010835,001ON00000JFABD,ITM-009904,DITM-000512,Manufacturer,2025-06-01,SM-000484
OC-018006,001ON00000JFABD,ITM-009904,DITM-000512,Manufacturer,2025-06-01,SM-000484
OC-017894,001ON00000OCSMP,ITM-009904,DITM-000512,Manufacturer,2025-06-01,SM-000484
OC-018017,001ON00000OCSMS,ITM-009904,DITM-000512,Manufacturer,2025-06-01,SM-000484
OC-018041,001ON00000OCSMV,ITM-009904,DITM-000512,Manufacturer,2025-06-01,SM-000484
OC-017872,001ON00000OCSMY,ITM-009904,DITM-000512,Manufacturer,2025-06-01,SM-000484
OC-017917,001ON00000OCSMA,ITM-009904,DITM-000512,Manufacturer,2025-06-01,SM-000484
OC-017990,001ON00000OCSMB,ITM-009904,DITM-000512,Manufacturer,2025-06-01,SM-000484
OC-018020,001ON00000OCSMC,ITM-009904,DITM-000512,Manufacturer,2025-06-01,SM-000484
OC-018026,001ON00000OCSMD,ITM-009904,DITM-000512,Manufacturer,2025-06-01,SM-000484
OC-018039,001ON00000OCSME,ITM-009904,DITM-000512,Manufacturer,2025-06-01,SM-000484
OC-017955,001ON00000OCSMH,ITM-009904,DITM-000512,Manufacturer,2025-06-01,SM-000484
