Detailed Item ID  ↓,,Item Name,Item ID,Detailed Item Name,Organisation Capability,Organisation: Organisation Name,Organisation: Organisation ID,Capability Type,Validation Date,Organisation: Billing Street,Organisation: Billing City,Organisation: Billing State/Province,Organisation: Billing Zip/Postal Code,Sector Mapping ID,Sector Name,Formatted_Address,Latitude,Longitude,Geocoding_Service,Geocoding_Status
,,air compressor,ITM-002679,Compressor,OC-013615,,001On00000JfaOs,Service Provider,1/06/2025,"42 Punari Street,",Currajong,QLD,4812,,,"42 Punari Street, Currajong, QLD, 4812",-19.2738732,146.7754679,nominatim,success
,,air compressor,ITM-002679,Compressor,OC-013622,,001On00000JfaT5,Service Provider,1/06/2025,8 Millard St,Templestowe Lower,VIC,3107,,,"8 Millard St, Templestowe Lower, VIC, 3107",-37.7572062,145.095184,nominatim,success
,,air compressor,ITM-002679,Compressor,OC-013623,,001On00000JfaTj,Service Provider,1/06/2025,U 4 3-11 COOLSTORE RD,Croydon,VIC,3136,,,"U 4 3-11 COOLSTORE RD, Croydon, VIC, 3136",-37.7935302,145.2842435,photon,success
,,air compressor,ITM-002679,Compressor,OC-013624,,001On00000JfaTv,Service Provider,1/06/2025,9 Bianca Dr,Aspendale Gardens,VIC ,3195,,,"9 Bianca Dr, Aspendale Gardens, VIC, 3195",-38.0188697,145.1128021,nominatim,success
,,air compressor,ITM-002679,Compressor,OC-013626,,001On00000JfaU1,Service Provider,1/06/2025,Unit 3 13a Elite Way,Carrum Downs,VIC ,3201,,,"Unit 3 13a Elite Way, Carrum Downs, VIC, 3201",-38.0937172,145.1587685,photon,success
,,air compressor,ITM-002679,Compressor,OC-013628,,001On00000JfaUT,Service Provider,1/06/2025,Factory 1/84 Hallam South Road,Hallam,VIC,3803,,,"Factory 1/84 Hallam South Road, Hallam, VIC, 3803",-38.0172623,145.2714329,photon,success
,,air compressor,ITM-002679,Compressor,OC-013629,,001On00000JfaYa,Service Provider,1/06/2025,516 High Street,Preston,VIC,3072,,,"516 High Street, Preston, VIC, 3072",-37.7342632,145.0047945,nominatim,success
,,air compressor,ITM-002679,Compressor,OC-013512,,001On00000JfaYg,Item Supplier,1/06/2025,"3/41-43 Allied Dr,",Tullamarine,VIC,3043,,,"3/41-43 Allied Dr, Tullamarine, VIC, 3043",-37.7117837,144.8722924,nominatim,success
,,air compressor,ITM-002679,Compressor,OC-013630,,001On00000JfaYs,Service Provider,1/06/2025,0,Bonbeach,VIC ,3196,,,"0, Bonbeach, VIC, 3196",-38.0630635,145.1276225,nominatim,success
,,air compressor,ITM-002679,Compressor,OC-013633,,001On00000JfaZU,Service Provider,1/06/2025,Factory 1/5 Olive Gr,Keysborough,VIC,3173,,,"Factory 1/5 Olive Gr, Keysborough, VIC, 3173",-37.9988283,145.1822654,photon,success
,,air compressor,ITM-002679,Compressor,OC-013635,,001On00000JfaZs,Service Provider,1/06/2025,"Level 2, Mechincal Engineering Building J07,",Camperdown,NSW,2006,,,"Level 2, Mechincal Engineering Building J07, Camperdown, NSW, 2006",,,,failed
,,air compressor,ITM-002679,Compressor,OC-013518,,001On00000JfaZw,Item Supplier,1/06/2025,Unit 2 / 27 Binney Road,Kings Park,NSW,2148,,,"Unit 2 / 27 Binney Road, Kings Park, NSW, 2148",-33.8737266,151.033724,photon,success
